t;AMPAR;AMPAR_bulk;AMPAR_P831;AMPAR_P845;AMPAR_P845_P831;Anchor;J__01_AMPAR_Transport;J__02_AMPAR_Phospho845;J__03_AMPAR_P845_Dephospho;J__04_AMPAR_P831_Phospho845;J__05_AMPAR_P831_P45_Dephospho;J__06_AMPAR_P845_int;J__07_AMPAR_P845_P831_int;J__08_mAMPAR_P845_Phospho831;J__09_mAMPAR_P845_P831_Dephospho831;J__10_mAMPAR_Phospho845;J__11_mAMPAR_P845_Dephospho845;J__12_mAMPAR_sep;J__13_mAMPAR_P845_P831_Dephospho845;J__14_mAMPAR_Phospho831;J__15_mAMPAR_P831_Dephospho831;J__16_mAMPAR_P831_Phospho845;J__17_mAMPAR_P831_sep;mAMPAR;mAMPAR_P831;mAMPAR_p845;mAMPAR_p845_p831;PKA;PP1
1436.0;3.5915672211404953E-6;1.9998E-4;7.444096464425482E-7;5.8407554898562686E-8;1.3095079646197817E-8;733.4135158615474;8.072778859504354E-9;1.0641947146589857E-7;9.420571595792198E-8;2.2057151209402978E-8;2.112109531134349E-8;4.4106795039762913E-7;3.360703593467543E-8;2.584157899633151E-7;1.9772133011602023E-7;4.1349395156521076E-7;7.631859179436244E-7;1.497805301839481E-7;1.9772133011602023E-7;4.1349395156521076E-7;3.7519277330329594E-7;1.2704037028675527E-7;4.601790398459176E-8;3.7445132545987025E-4;1.150447599614794E-4;2.3401551498975696E-4;6.062685223384884E-5;0.018519;0.24999999999999997
1438.0;3.591578755143255E-6;1.9998E-4;7.450851146491819E-7;5.841269509326347E-8;1.3106328796546202E-8;733.4135153041927;8.061244856744597E-9;1.064198132223593E-7;9.421400659141191E-8;2.2077165594603132E-8;2.1139239100694458E-8;4.4078097032839243E-7;3.367488895080894E-8;2.584835024392666E-7;1.9787528746378715E-7;4.13850615567437E-7;7.633858936397108E-7;1.4990972559810193E-7;1.9787528746378715E-7;4.13850615567437E-7;3.7560316880704527E-7;1.2717933074814655E-7;4.606823976742025E-8;3.747743139952548E-4;1.1517059941855061E-4;2.340768340244616E-4;6.067405994014963E-5;0.018519;0.24999999999999997
1440.0;3.5915902725843603E-6;1.9998E-4;7.457596294614016E-7;5.8417827908738995E-8;1.3117562061155752E-8;733.4135147476346;8.049727415639317E-9;1.0642015448809253E-7;9.422228532292983E-8;2.209715173034946E-8;2.1157357267886865E-8;4.40494402232593E-7;3.374264667352227E-8;2.585511177093616E-7;1.980290271817075E-7;4.142067672315771E-7;7.63585582256439E-7;1.5003873542740385E-7;1.980290271817075E-7;4.142067672315771E-7;3.76012983729098E-7;1.273180946247599E-7;4.611850434127942E-8;3.750968385685096E-4;1.1529626085319854E-4;2.3413806503160326E-4;6.072120091510886E-5;0.018519;0.24999999999999997
1442.0;3.59160177348859E-6;1.9998E-4;7.464331921899698E-7;5.842295335609131E-8;1.3128779461911121E-8;733.4135141918723;8.038226511409835E-9;1.0642049526383244E-7;9.423055217038225E-8;2.2117109655480414E-8;2.1175449848218542E-8;4.402082454903912E-7;3.3810309231260025E-8;2.5861863591985014E-7;1.9818254957075213E-7;4.145624073136398E-7;7.637849842257338E-7;1.5016755994570145E-7;1.9818254957075213E-7;4.145624073136398E-7;3.764222188415521E-7;1.2745666217802477E-7;4.616869780086658E-8;3.754188998642536E-4;1.1542174450216645E-4;2.3419920814362274E-4;6.076827525101211E-5;0.018519;0.24999999999999997
1444.0;3.591613257880673E-6;1.9998E-4;7.471058041438141E-7;5.842807144639893E-8;1.313998102066613E-8;733.4135136369043;8.0267421193266E-9;1.064208355503118E-7;9.423880715163775E-8;2.2137039408780037E-8;2.119351687693759E-8;4.399224994832649E-7;3.3877876752296766E-8;2.5868605721667186E-7;1.9833585493146367E-7;4.1491753656835045E-7;7.639840999786021E-7;1.5029619942637748E-7;1.9833585493146367E-7;4.1491753656835045E-7;3.768308749160378E-7;1.2759503366921208E-7;4.6218820240821625E-8;3.757404985659437E-4;1.1554705060205406E-4;2.3426026349267963E-4;6.081528304001353E-5;0.018519;0.24999999999999997
1446.0;3.59162472578529E-6;1.9998E-4;7.477774666300338E-7;5.8433182190716955E-8;1.3151166759243875E-8;733.4135130827298;8.015274214709615E-9;1.0642117534826188E-7;9.424705028452715E-8;2.2156941028978224E-8;2.1211558389242562E-8;4.396371635940018E-7;3.3945349364738395E-8;2.5875338174545765E-7;1.9848894356395708E-7;4.152721557491547E-7;7.641829299451396E-7;1.5042465414235118E-7;1.9848894356395708E-7;4.152721557491547E-7;3.7723895272371063E-7;1.2773320935943207E-7;4.626887175572624E-8;3.7606163535587795E-4;1.156721793893156E-4;2.3432123121065396E-4;6.0862224374136296E-5;0.018519;0.24999999999999997
1448.0;3.5916361772270716E-6;1.9998E-4;7.484481809539051E-7;5.843828560007718E-8;1.3162336699436833E-8;733.4135125293473;8.003822772928006E-9;1.0642151465841247E-7;9.425528158684362E-8;2.2176814554750853E-8;2.122957442028261E-8;4.3935223720668984E-7;3.401272719652267E-8;2.588206096515313E-7;1.9864181576792195E-7;4.1562626560822225E-7;7.643814745545349E-7;1.5055292436607962E-7;1.9864181576792195E-7;4.1562626560822225E-7;3.7764645303524435E-7;1.2787118950963192E-7;4.6318852440103065E-8;3.7638231091519905E-4;1.1579713110025766E-4;2.3438211142914775E-4;6.0909099345273004E-5;0.018519;0.24999999999999997
1450.0;3.5916476122306E-6;1.9998E-4;7.491179484188878E-7;5.84433816854883E-8;1.317349086300695E-8;733.4135119767558;7.992387769399609E-9;1.06421853481492E-7;9.426350107634314E-8;2.2196660024719966E-8;2.124756500515765E-8;4.390677197067131E-7;3.408001037541891E-8;2.5888774107991176E-7;1.987944718426232E-7;4.1597986689645053E-7;7.64579734235076E-7;1.5068101036955895E-7;1.987944718426232E-7;4.1597986689645053E-7;3.780533766208256E-7;1.2800897438059385E-7;4.636876238841494E-8;3.7670252592389734E-4;1.1592190597103734E-4;2.3444290427948676E-4;6.0955908045186144E-5;0.018519;0.24999999999999997
1452.0;3.591659030820409E-6;1.9998E-4;7.497867703266308E-7;5.8448470457935935E-8;1.3184629271685751E-8;733.4135114249542;7.980969179590537E-9;1.0642219181822737E-7;9.427170877074445E-8;2.2216477477453962E-8;2.1265530178918524E-8;4.3878361048073925E-7;3.414719902902954E-8;2.589547761753143E-7;1.9894691208690287E-7;4.163329603634679E-7;7.647777094141546E-7;1.5080891242432566E-7;1.9894691208690287E-7;4.163329603634679E-7;3.784597242501462E-7;1.281465642329326E-7;4.641860169506408E-8;3.7702228106081413E-4;1.160465042376602E-4;2.3450360989272194E-4;6.1002650565508484E-5;0.018519;0.24999999999999997
1454.0;3.5916704330209836E-6;1.9998E-4;7.504546479769778E-7;5.845355192838287E-8;1.319575194717443E-8;733.4135108739415;7.969566979016031E-9;1.0642252966934411E-7;9.427990468772944E-8;2.2236266951467742E-8;2.1283469976567175E-8;4.384999089167177E-7;3.4214293284789836E-8;2.5902171508215275E-7;1.9909913679918116E-7;4.166855467576375E-7;7.649754005182714E-7;1.50936630801458E-7;1.9909913679918116E-7;4.166855467576375E-7;3.788654966923983E-7;1.2828395932709355E-7;4.646837045439136E-8;3.77341577003645E-4;1.1617092613597841E-4;2.3456422839963114E-4;6.104932699774349E-5;0.018519;0.24999999999999997
1456.0;3.5916818188567617E-6;1.9998E-4;7.511215826679734E-7;5.84586261077691E-8;1.3206858911143948E-8;733.4135103237164;7.958181143237922E-9;1.0642286703556628E-7;9.428808884494328E-8;2.2256028485222897E-8;2.1301384433056758E-8;4.38216614403867E-7;3.4281293269969456E-8;2.590885579445408E-7;1.9925114627745812E-7;4.1703762682606083E-7;7.651728079730417E-7;1.5106416577157713E-7;1.9925114627745812E-7;4.1703762682606083E-7;3.792706947162668E-7;1.2842115992335062E-7;4.651806876067551E-8;3.776604144289428E-4;1.1629517190168878E-4;2.346247599307206E-4;6.109593743326575E-5;0.018519;0.24999999999999997
1458.0;3.5916931883521325E-6;1.9998E-4;7.51787575695868E-7;5.8463693007012035E-8;1.3217950185235134E-8;733.4135097742776;7.946811647867166E-9;1.0642320391761661E-7;9.429626125999467E-8;2.2275762117127862E-8;2.1319273583291837E-8;4.3793372633267094E-7;3.434819911167173E-8;2.5915530490629424E-7;1.994029408193146E-7;4.1738920131458054E-7;7.653699322031999E-7;1.5119151760484835E-7;1.994029408193146E-7;4.1738920131458054E-7;3.7967531908992434E-7;1.28558166281804E-7;4.656769670813238E-8;3.7797879401212087E-4;1.1641924177033094E-4;2.3468520461622652E-4;6.114248196332135E-5;0.018519;0.24999999999999997
1460.0;3.5917045415314375E-6;1.9998E-4;7.524526283551242E-7;5.846875263700657E-8;1.3229025791058765E-8;733.4135092256244;7.935458468562154E-9;1.064235403162163E-7;9.430442195045601E-8;2.22954678855381E-8;2.133713746212852E-8;4.3765124409487364E-7;3.4415010936835345E-8;2.592219561109322E-7;1.9955452072191381E-7;4.1774027096778497E-7;7.655667736326051E-7;1.5131868657098253E-7;1.9955452072191381E-7;4.1774027096778497E-7;3.8007937058102446E-7;1.2869497866237836E-7;4.6617254390914203E-8;3.7829671642745634E-4;1.165431359772855E-4;2.3474556258611654E-4;6.118896067902831E-5;0.018519;0.24999999999999997
1462.0;3.591715878418972E-6;1.9998E-4;7.531167419384215E-7;5.847380500862523E-8;1.3240085750195671E-8;733.4135086777552;7.924121581027439E-9;1.0642387623208522E-7;9.431257093386364E-8;2.231514582875623E-8;2.135497610437458E-8;4.3736916708346504E-7;3.4481728872233815E-8;2.592885117016788E-7;1.9970588628200243E-7;4.180908365290109E-7;7.657633326842445E-7;1.5144567293923721E-7;1.9970588628200243E-7;4.180908365290109E-7;3.804828499566965E-7;1.288315973248208E-7;4.666674190310889E-8;3.7861418234809305E-4;1.1666685475777221E-4;2.348058339700913E-4;6.123537367137693E-5;0.018519;0.24999999999999997
1464.0;3.5917271990389838E-6;1.9998E-4;7.537799177366626E-7;5.847885013271829E-8;1.3251130084196821E-8;733.4135081306694;7.912800961015857E-9;1.0642421166594185E-7;9.4320708227718E-8;2.233479598503223E-8;2.1372789544789663E-8;4.3708749469268064E-7;3.4548353044476757E-8;2.5935497182146503E-7;1.998570377959121E-7;4.1844089874034736E-7;7.659596097802402E-7;1.5157247697841796E-7;1.998570377959121E-7;4.1844089874034736E-7;3.808857579835389E-7;1.2896802252869856E-7;4.671615933873926E-8;3.789311924460449E-4;1.1679039834684815E-4;2.3486601889758586E-4;6.128172103123023E-5;0.018519;0.24999999999999997
1466.0;3.5917385034156724E-6;1.9998E-4;7.544421570389781E-7;5.8483888020113936E-8;1.3262158814583412E-8;733.4135075843653;7.901496584327252E-9;1.0642454661850326E-7;9.43288338494839E-8;2.2354418392563564E-8;2.139057781808537E-8;4.3680622631799176E-7;3.461488358000999E-8;2.5942133661293046E-7;2.0000797555956028E-7;4.1879045834263846E-7;7.661556053418529E-7;1.5169909895687943E-7;2.0000797555956028E-7;4.1879045834263846E-7;3.8128809542761423E-7;1.2910425453339765E-7;4.676550679176242E-8;3.7924774739219857E-4;1.1691376697940604E-4;2.3492611749777127E-4;6.13280028493243E-5;0.018519;0.24999999999999997
1468.0;3.591749791573193E-6;1.9998E-4;7.551034611327319E-7;5.848891868161831E-8;1.3273171962846965E-8;733.4135070388421;7.890208426806786E-9;1.0642488109048515E-7;9.433694781659057E-8;2.2374013089495377E-8;2.1408340958925455E-8;4.3652536135610066E-7;3.46813206051167E-8;2.5948760621842433E-7;2.0015869986845198E-7;4.191395160754874E-7;7.663513197894867E-7;1.5182553914252681E-7;2.0015869986845198E-7;4.191395160754874E-7;3.81689863054443E-7;1.292402935981204E-7;4.6814784356068964E-8;3.79563847856317E-4;1.1703696089017241E-4;2.3498612989955592E-4;6.137421921626867E-5;0.018519;0.24999999999999997
1470.0;3.5917610635356517E-6;1.9998E-4;7.557638313035269E-7;5.8493942128015685E-8;1.3284169550449404E-8;733.4135064940987;7.878936464347902E-9;1.064252150826018E-7;9.434505014643205E-8;2.239358011392058E-8;2.142607900192592E-8;4.362448992049304E-7;3.4747664245916706E-8;2.595537807800076E-7;2.0030921101768056E-7;4.1948807267725975E-7;7.665467535426942E-7;1.5195179780281694E-7;2.0030921101768056E-7;4.1948807267725975E-7;3.820910616289983E-7;1.2937613998188383E-7;4.6863992125482385E-8;3.798794945070423E-4;1.1715998031370597E-4;2.3504605623158703E-4;6.142037022254672E-5;0.018519;0.24999999999999997
1472.0;3.591772319327111E-6;1.9998E-4;7.564232688352092E-7;5.849895837006858E-8;1.3295151598823155E-8;733.413505950134;7.86768067288851E-9;1.0642554859556617E-7;9.435314085636719E-8;2.2413119503880086E-8;2.14437919816552E-8;4.359648392636216E-7;3.481391462836826E-8;2.5961986043945463E-7;2.0045950930192926E-7;4.1983612888508655E-7;7.667419070201802E-7;1.5207787520475948E-7;2.0045950930192926E-7;4.1983612888508655E-7;3.8249169191570003E-7;1.2951179394351772E-7;4.691313019375835E-8;3.801946880118987E-4;1.1728282548439587E-4;2.3510589662225205E-4;6.146645595851604E-5;0.018519;0.24999999999999997
